FisheryNumber,FisheryName,Gear,Term_PreTerm,Jurisdiction,Region,PSTFisheryType,Cohort_Type,CMB,CYER,MDT,MDTFigureReport,MDTFigureDetailed,sum_landed,LW_notes,Category in Winther et al. 2024,used_for_preterminal_ER_phi_dot_E_age5_6
1,AK W/S T,Troll,Preterm,SEAK,SEAK,AABM,Ocean,AABM SEAK Troll,AABM US,AABM SEAK Troll,SEAK_AABM,AABM SEAK,599.2498602,Alaska troll,preterminal,yes
2,AK JNO T,Troll,Preterm,SEAK,SEAK,AABM,Ocean,AABM SEAK Troll,AABM US,AABM SEAK Troll,SEAK_AABM,AABM SEAK,216.77827,Alaska troll,preterminal,yes
3,AK JNI T,Troll,Preterm,SEAK,SEAK,AABM,Ocean,AABM SEAK Troll,AABM US,AABM SEAK Troll,SEAK_AABM,AABM SEAK,99.03,Alaska troll,preterminal,yes
4,AK JLO T,Troll,Preterm,SEAK,SEAK,AABM,Ocean,AABM SEAK Troll,AABM US,AABM SEAK Troll,SEAK_AABM,AABM SEAK,2071.215266,Alaska troll,preterminal,yes
5,AK JLI T,Troll,Preterm,SEAK,SEAK,AABM,Ocean,AABM SEAK Troll,AABM US,AABM SEAK Troll,SEAK_AABM,AABM SEAK,94.40084326,Alaska troll,preterminal,yes
6,AK FALL T,Troll,Preterm,SEAK,SEAK,AABM,Ocean,AABM SEAK Troll,AABM US,AABM SEAK Troll,SEAK_AABM,AABM SEAK,92.39112281,Alaska troll,preterminal,yes
7,TAK TERM T,Troll,Term,SEAK,SEAK,Terminal,Term,Terminal SEAK Troll,Terminal,Terminal SEAK Troll,TERM,Terminal SEAK,0,,preterminal,yes
8,NORTH T,Troll,Preterm,Canada,NBC,AABM,Ocean,AABM NBC Troll,AABM Canada,AABM NBC Troll,CAN_AABM,AABM NBC,700.48,Area F Troll fishery,preterminal,yes
9,CENTRL T,Troll,Preterm,Canada,CBC,ISBM,Ocean,ISBM NBC&CBC Troll,ISBM Canada,ISBM NBC&CBC Troll,CAN_ISBM,ISBM Canada,4.69,,preterminal,yes
10,WCVI F/W T,Troll,Preterm,Canada,WCVI,AABM,Ocean,AABM WCVI Troll,AABM Canada,AABM WCVI Troll,CAN_AABM,AABM WCVI,2.61,,preterminal,yes
11,WCVI SPR T,Troll,Preterm,Canada,WCVI,AABM,Ocean,AABM WCVI Troll,AABM Canada,AABM WCVI Troll,CAN_AABM,AABM WCVI,2.3,,preterminal,yes
12,WCVI SUM T,Troll,Preterm,Canada,WCVI,AABM,Ocean,AABM WCVI Troll,AABM Canada,AABM WCVI Troll,CAN_AABM,AABM WCVI,3.37,,preterminal,yes
13,N FALCON T,Troll,Preterm,SUS,N Falcon,ISBM,Ocean,ISBM North of Falcon Troll,ISBM US,ISBM North of Falcon Troll,SUS_ISBM,ISBM US,2.93,,preterminal,yes
14,S FALCON T,Troll,Preterm,SUS,S Falcon,ISBM,Ocean,ISBM South of Falcon Troll,ISBM US,ISBM South of Falcon Troll,SUS_ISBM,ISBM US,0,,preterminal,yes
