year,kitsumkalum_escapement,sd,female_escapement,male_escapement,note
1984,9569,1644,2684,6885,Female and male escapement from Winther et al. 2021 Table 14
1985,9081,409,4267,4814,Female and male escapement from Winther et al. 2021 Table 14
1986,8080,354,3156,4924,Female and male escapement from Winther et al. 2021 Table 14
1987,15549,991,7588,7961,Female and male escapement from Winther et al. 2021 Table 14
1988,15853,804,8345,7509,Female and male escapement from Winther et al. 2021 Table 14.
1989,17823,1046,10427,7396,Female and male escapement from Winther et al. 2021 Table 14
1990,11119,452,6438,4681,Female and male escapement from Winther et al. 2021 Table 14
1991,9267,456,5278,3989,Female and male escapement from Winther et al. 2021 Table 14
1992,10880,447,5054,5826,Female and male escapement from Winther et al. 2021 Table 14
1993,13181,518,7039,6142,Female and male escapement from Winther et al. 2021 Table 14
1994,14004,1245,5675,8329,Female and male escapement from Winther et al. 2021 Table 14
1995,6514,309,3983,2531,Female and male escapement from Winther et al. 2021 Table 14
1996,8595,704,5143,3452,Female and male escapement from Winther et al. 2021 Table 14
1997,4675,328,2139,2536,Female and male escapement from Winther et al. 2021 Table 14
1998,6009,262,2825,3184,Female and male escapement from Winther et al. 2021 Table 14
1999,9035,561,3664,5371,Female and male escapement from Winther et al. 2021 Table 14
2000,10179,418,4798,5381,Female and male escapement from Winther et al. 2021 Table 14
2001,17866,677,8499,9367,Female and male escapement from Winther et al. 2021 Table 14
2002,11220,685,4953,6267,Female and male escapement from Winther et al. 2021 Table 14
2003,17525,809,8161,9364,Female and male escapement from Winther et al. 2021 Table 14
2004,19664,1607,10839,8825,Female and male escapement from Winther et al. 2021 Table 14
2005,11382,637,5516,5866,Female and male escapement from Winther et al. 2021 Table 14
2006,8396,751,3466,4930,Female and male escapement from Winther et al. 2021 Table 14
2007,11739,1849,7518,4221,Female and male escapement from Winther et al. 2021 Table 14
2008,6903,437,3318,3585,Female and male escapement from Winther et al. 2021 Table 14
2009,8350,781,4632,3718,Female and male escapement from Winther et al. 2021 Table 14
2010,8932,585,3144,5788,Female and male escapement from Winther et al. 2021 Table 14
2011,6756,693,3426,3330,Female and male escapement from Winther et al. 2021 Table 14
2012,6291,520,2072,4219,Female and male escapement from Winther et al. 2021 Table 14
2013,11356,1189,5523,5833,Female and male escapement from Winther et al. 2021 Table 14
2014,10042,1238,3595,6447,Female and male escapement from Winther et al. 2021 Table 14
2015,14904,753,7012,7892,Female and male escapement from Winther et al. 2021 Table 14
2016,9537,512,5397,4140,Female and male escapement from Winther et al. 2021 Table 14
2017,4132,512,1870,2262,Female and male escapement from Winther et al. 2021 Table 14
2018,9550,571,4222,5328,Female and male escapement from Winther et al. 2021 Table 14
2019,6673,562,3400,3273,Female and male escapement from Winther et al. 2021 Table 14
2020,4777,843,3292,1485,Female and male escapement from Winther et al. 2021 Table 14
2021,4032,469,1495,2538,Female and male escapement calculated by CM
2022,5649,999,,,
2023,5376,643,2894,2482,Female and male escapement calculated by LW
2024,5451,701,2648,2803,Female and male escapement calculated by LW
