"year","brood_stock_number_new","date","loc_1_31","sex","poh_length_cm","tag_number","operc_punch","ad_clip_y_n_u","e_label_number","comments_tagging_new","GR_age","total_age","egg_volume_ml","reach","comments_brood","total_n_green_eggs_taken_at_collection_sum","mean_n_live_eggs_per_gram_mean","jday","g_per_egg"
2011,1,2011-09-01,"9","F",82,NA,NA,NA,NA,"BROODSTOCK #1","62",6,2300,"UP",NA,6210,NA,244,NA
2011,2,2011-09-01,"9","F",83,NA,NA,NA,NA,"BROODSTOCK #2","4M",NA,3200,"UP",NA,8000,NA,244,NA
2011,3,2011-09-01,"6","F",74,NA,NA,NA,NA,"BROODSTOCK #3","3M",NA,2000,"UP",NA,6480,NA,244,NA
2011,4,2011-09-02,"31","F",85,NA,NA,NA,NA,"BROODSTOCK #4","4M",NA,2800,"LOW",NA,6692,NA,245,NA
2011,5,2011-09-02,"23","F",86,NA,NA,NA,NA,"BROODSTOCK #5","4M",NA,3200,"LOW",NA,8576,NA,245,NA
2011,6,2011-09-02,"31","F",83,NA,NA,NA,NA,"BROODSTOCK #6","5M",NA,1600,"LOW",NA,4272,NA,245,NA
2011,7,2011-09-03,"9","F",78,"2374","R",NA,NA,"BROODSTOCK #7 (POSSIBLE CYSTS IN KIDNEY)","52",5,1600,"UP","CYSTS",6000,NA,246,NA
2011,8,2011-09-03,"9","F",73,NA,NA,NA,NA,"BROODSTOCK #8","52",5,1600,"UP",NA,5696,NA,246,NA
2011,9,2011-09-03,"9","F",76,NA,NA,NA,NA,"BROODSTOCK #9","52",5,2000,"UP",NA,6700,NA,246,NA
2011,10,2011-09-03,"9","F",76,NA,NA,NA,NA,"BROODSTOCK #10","4M",NA,1800,"UP",NA,6246,NA,246,NA
2011,11,2011-09-03,"9","F",76,NA,NA,NA,NA,"BROODSTOCK #11","52",5,2500,"UP","CYSTS",8100,NA,246,NA
2011,12,2011-09-03,"6","F",78,NA,NA,NA,NA,"BROODSTOCK #12","52",5,1400,"UP",NA,5362,NA,246,NA
2011,13,2011-09-03,"6","F",79,NA,NA,NA,NA,"BROODSTOCK #13","3M",NA,1900,"UP",NA,6479,NA,246,NA
2011,14,2011-09-04,"24","F",74,NA,NA,NA,NA,"BROODSTOCK #14","4M",NA,1500,"LOW",NA,5070,NA,247,NA
2011,15,2011-09-04,"24","F",90,NA,NA,NA,NA,"BROODSTOCK #15","62",6,2900,"LOW",NA,7572,NA,247,NA
2011,16,2011-09-06,"9","F",81,NA,NA,NA,NA,"BROODSTOCK #16","62",6,2600,"UP",NA,7332,NA,249,NA
2011,17,2011-09-06,"9","F",88,NA,NA,NA,NA,"BROODSTOCK #17","52",5,1300,"UP",NA,3250,NA,249,NA
2011,18,2011-09-13,"24","F",80,NA,NA,NA,NA,"BROODSTOCK #18","62",6,2500,"LOW",NA,8250,NA,256,NA
2011,19,2011-09-13,"24","F",75,NA,NA,NA,NA,"BROODSTOCK #19","52",5,2300,"LOW",NA,6808,NA,256,NA
2011,20,2011-09-13,"24","F",71,NA,NA,NA,NA,"BROODSTOCK #20","52",5,1800,"LOW",NA,6894,NA,256,NA
2011,21,2011-09-13,"24","F",78,NA,NA,NA,NA,"BROODSTOCK #21","52",5,2300,"LOW",NA,8736,NA,256,NA
2011,22,2011-09-13,"24","F",82,NA,NA,NA,NA,"BROODSTOCK #22","52",5,2400,"LOW",NA,7128,NA,256,NA
2011,23,2011-09-13,"26","F",78,NA,NA,NA,NA,"BROODSTOCK #23","3M",NA,2200,"LOW","CYSTS",6864,NA,256,NA
2011,24,2011-09-13,"31","F",71,NA,NA,NA,NA,"BROODSTOCK #24","52",5,1500,"UP",NA,6375,NA,256,NA
2011,25,2011-09-14,"9","F",70,NA,NA,NA,NA,"BROODSTOCK #25","52",5,2000,"UP",NA,7100,NA,257,NA
2011,26,2011-09-14,"12","F",75,NA,NA,NA,NA,"BROODSTOCK #26","52",5,3000,"LOW",NA,10980,NA,257,NA
2011,27,2011-09-15,"31","F",81,NA,NA,NA,NA,"BROODSTOCK #27","62",6,1500,"LOW","CYSTS",5010,NA,258,NA
2011,28,2011-09-15,"31","F",75,NA,NA,NA,NA,"BROODSTOCK #28","52",5,2200,"LOW","CYSTS",7678,NA,258,NA
2011,29,2011-09-15,"26","F",75,NA,NA,NA,NA,"BROODSTOCK #29","3M",NA,1700,"LOW",NA,6545,NA,258,NA
2011,30,2011-09-16,"31","F",74,NA,NA,NA,NA,"BROODSTOCK #30","3M",NA,2100,"LOW","CYSTS",5901,NA,259,NA
2011,31,2011-09-16,"31","F",78,NA,NA,NA,NA,"BROODSTOCK #31","3M",NA,1300,"LOW",NA,4433,NA,259,NA
2011,32,2011-09-16,"27","F",74,NA,NA,NA,NA,"BROODSTOCK #32 (SCHOOL)","3M",NA,1700,"UP",NA,6290,NA,259,NA
2011,33,2011-09-17,"9","F",72,NA,NA,NA,NA,"BROODSTOCK #33","52",5,1300,"UP",NA,5226,NA,260,NA
2011,34,2011-09-17,"6","F",72,NA,NA,NA,NA,"BROODSTOCK #34","62",6,2400,"LOW",NA,8352,NA,260,NA
2011,35,2011-09-19,"24","F",75,NA,NA,NA,NA,"BROODSTOCK #35","52",5,1800,"UP",NA,6390,NA,262,NA
