"y","a","H_star","tau_dot_M","phi_dot_M","r","phi_dot_E","Q","b"
1984,4,0,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798,1980
1984,5,0,0,0,0.636609926026358,0.293994532711037,0.899999998509884,1979
1984,6,0,0.202216867728643,5.64930109960592e-06,1,0.171199698664241,1,1978
1985,4,29,0.00244114884834053,0,0.0403180445580425,0.0857484664811483,0.755256354377356,1981
1985,5,109,0.216383984489037,0,0.598481532976985,0.181069405321007,0.959848152699389,1980
1985,6,38,0.109920938536088,0,1,0.263185484717234,1,1979
1986,4,0,0.294233073779143,0,0.0655743752616044,0.0636892324573025,0.78615281953852,1982
1986,5,126,0.151504251828947,0,0.312177711785624,0.127157590503606,0.931217770153627,1981
1986,6,43,0.111936113853679,0,1,0.288965464787934,1,1980
1987,4,0,0,0,0.0655743752616044,0.0167796280521769,0.759023504005327,1983
1987,5,0,0.16117243006786,0.00140399686383365,0.636609926026358,0.184423227252941,0.963660992061142,1982
1987,6,198,0.107207226412552,0,1,0.247788962322338,1,1981
1988,4,14,0.399578272697611,0,0.0250785340271209,0.0416419887763075,0.782232532760882,1984
1988,5,32,0.369304835351179,0,0.487793843043847,0.120840083970232,0.948779383541138,1983
1988,6,0,0.202216867728643,5.64930109960592e-06,1,0.171199698664241,1,1982
1989,4,51,0.121047034381708,0,0.106594096325086,0.0868248559884634,0.787162321256316,1985
1989,5,507,0.148329615086043,0.00416809288681344,0.707884536349646,0.185347061017383,0.970788453199679,1984
1989,6,37,0.0735626412252071,0,1,0.156144150829822,1,1983
1990,4,4,0.36207391425811,0,0.0650504954326057,0.0626008526071365,0.789063604598363,1986
1990,5,117,0.0764134549485427,4.38977046875186e-05,0.522102791912429,0.215539226479147,0.952210278479121,1985
1990,6,164,0.107570857516953,3.92996284306933e-06,1,0.174115874169777,1,1984
1991,4,54,0.285864211514724,0,0.0647051586637268,0.0836076134906427,0.797027272378786,1987
1991,5,27,0.258774220168995,0,0.679842449817,0.152383394262293,0.967984244504628,1986
1991,6,49,0.248662235663677,1.30179404557484e-05,1,0.338999317221733,1,1985
1992,4,0,0.295248630100169,0,0.0378551857247279,0.0498012590698553,0.764769657337255,1988
